var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,9,16,4,7,12,9,0,6.0954,6.1197,5.4598,6.570799999999999,3.2699,3.0
9,15,0,2,2,0,9,5,6.1888000000000005,6.3999,6.338900000000001,4.6311,4.491700000000001,4.0
0,1,0,1,7,6,5,0,5.784000000000001,6.4824,4.482,5.662000000000001,4.279299999999999,4.0
0,5,0,12,2,17,5,5,5.41,4.7439,6.588000000000001,6.8153,5.8053,4.0
9,9,10,2,7,10,5,5,6.198300000000001,6.2414,6.777200000000001,4.946000000000001,3.3409999999999997,4.0
17,8,14,17,1,11,5,5,5.7496,6.0054,6.126,4.4672,5.5929,3.0
6,5,6,11,8,11,5,5,4.3878,4.6399,5.7391000000000005,5.986800000000001,5.7343,5.0
2,2,10,1,2,11,12,0,2.9164,6.7541,3.9435999999999996,6.9872000000000005,5.646000000000001,3.0
17,8,0,10,7,15,0,5,6.4341,6.195,4.7490000000000006,5.5128,5.772900000000001,2.0
9,8,14,12,2,10,5,5,5.4399999999999995,5.8687,7.1744,4.5704,5.7519,2.0
0,9,16,15,7,15,5,5,6.6723,5.7358,4.8088999999999995,6.986800000000001,3.3075999999999994,3.0
0,9,0,12,1,15,5,5,6.9243999999999994,5.416300000000001,5.8941,5.742500000000001,4.1767,3.0
10,1,0,1,1,10,1,0,5.4397,6.1367,5.8473999999999995,4.071400000000001,4.3748000000000005,6.0
0,0,0,12,7,14,14,5,7.195500000000001,5.7201,4.3218000000000005,4.5858,4.1789000000000005,4.0
15,9,0,2,7,15,9,5,6.8044,6.1398,6.1245,5.8998,3.5669999999999997,3.0
2,8,18,12,2,17,9,5,4.2476,5.4301,7.132600000000001,6.412999999999999,6.755,2.0
0,0,0,10,7,15,0,0,6.8026,6.273199999999999,3.3358,5.1785000000000005,4.618600000000001,5.0
10,8,18,1,1,11,10,1,4.407699999999999,6.9989,4.7788,5.4677,4.5672,4.0
9,8,18,1,2,15,9,5,4.7371,7.3691,6.0564,5.5777,5.642500000000001,2.0
17,0,0,10,7,15,0,18,6.7659,5.895699999999999,3.5972,4.825,5.3001000000000005,3.0
6,2,9,1,2,17,10,5,4.0192000000000005,5.5726,4.348,7.031000000000001,6.5737000000000005,2.0
10,9,0,15,7,11,0,5,5.6973,5.5717,5.8081,7.149700000000001,4.4814,2.0
0,8,9,15,2,15,0,0,5.791499999999999,5.7254,3.6779999999999995,6.862000000000001,5.291500000000001,4.0
10,9,16,2,7,10,5,5,5.9764,5.766800000000001,6.7828,5.8793999999999995,3.1273,3.0
9,2,18,4,2,15,9,5,4.4012,7.2337,6.1412,5.9017,5.3694,3.0
17,2,0,1,2,2,9,5,4.2808,6.5824,5.2298,6.1536,6.7864,3.0
9,9,0,2,2,15,9,0,5.8993,6.6794,5.7917000000000005,5.6732,4.2285,5.0
12,9,10,4,2,11,9,5,4.6594,6.8121,6.819400000000001,5.911,4.7444,2.0
0,8,0,4,7,3,5,5,6.2588,6.4222,5.9533,5.7235000000000005,4.386800000000001,3.0
15,1,0,2,1,15,9,5,7.1076,6.193300000000001,5.9758000000000004,4.4455,4.0204,3.0
15,1,0,12,7,17,0,18,6.6574,4.5265,6.049900000000001,5.7411,5.368800000000001,2.0
2,3,16,12,7,17,0,5,5.2937,4.2033,6.0482000000000005,6.8113,5.987500000000001,1.0
0,12,0,12,2,0,5,5,5.8571,5.0963,5.0189,6.1856,5.7204,5.0
8,8,2,0,2,2,9,0,3.2754999999999996,7.0392,5.6999,4.7139,6.1686,5.0
8,2,0,11,2,0,0,5,4.7723,5.513599999999999,5.736199999999999,4.9276,6.862100000000001,4.0
8,8,0,9,1,2,9,9,4.335399999999999,6.8919,5.5778,3.3621999999999996,5.8061,4.0
0,19,0,1,12,19,3,0,5.3727,7.062200000000001,2.7915999999999994,4.852600000000001,4.3582,4.0
6,5,17,17,13,17,5,5,4.4862,3.6037,7.1215,5.645600000000001,5.453200000000001,5.0
2,2,14,11,2,2,9,5,3.4628000000000005,6.1684,6.1864,5.3851,7.1304,4.0
17,2,0,1,2,11,9,5,4.3467,6.6027,5.1516,6.4454,6.6084000000000005,2.0
10,2,9,12,2,17,0,5,4.6619,4.7263,5.9981,6.9364,6.6565,2.0
10,9,16,4,8,12,9,5,5.4528,5.574800000000001,7.1122000000000005,6.665499999999999,3.0951999999999997,2.0
2,2,0,1,2,2,9,5,3.583,6.386,5.5683,6.540500000000001,6.7978,4.0
9,10,0,2,7,2,1,0,5.8863,6.9272,5.710400000000001,4.3654,4.1866,3.0
12,10,14,10,1,7,14,5,5.7218,6.7141,6.3121,2.3590999999999998,5.1031,3.0
10,8,14,12,7,17,9,5,5.3491,5.6953000000000005,7.2353,5.6495,5.9842,1.0
8,8,9,4,2,11,5,5,4.5813,6.3008,5.9541,6.2508,6.034,3.0
2,2,1,12,2,17,9,1,3.5548,4.8027,5.5134,6.5622,6.999599999999999,4.0
0,9,0,12,7,15,10,5,6.9027,5.5884,4.8903,6.6569,3.936,2.0
0,9,0,12,7,12,9,5,6.6530000000000005,5.3832,6.4173,6.340999999999999,4.3668000000000005,4.0
17,1,0,12,1,10,0,18,6.6406,4.7085,5.736800000000001,4.1694,5.5743,3.0
9,8,0,11,7,11,14,5,5.6589,7.0724,5.7931,4.9158,5.4143,2.0
7,0,0,2,1,7,5,5,6.8263,5.8818,6.0301,3.4825,4.3002,4.0
2,8,2,1,2,17,9,5,3.4855,6.183,5.9265,5.9685999999999995,6.6521,3.0
12,5,14,12,14,12,9,5,5.0386,5.365,7.105700000000001,4.8482,5.1143,5.0
10,8,11,17,7,12,9,5,5.6196,5.7053,7.188500000000001,5.4932,4.5142,1.0
0,9,16,12,7,9,10,7,6.905700000000001,4.443300000000001,3.6964,6.5956,3.2035,3.0
8,9,18,12,2,17,9,18,4.5995,5.2741999999999996,7.272500000000001,5.7806,5.909400000000001,3.0
0,9,0,12,1,12,9,8,7.0892,4.7484,6.2604999999999995,5.189699999999999,3.5149000000000004,4.0
5,2,10,10,2,2,0,5,4.438199999999999,6.2545,5.374,5.4308000000000005,6.1496,5.0
17,5,9,15,7,15,0,5,5.8157,4.9279,4.1136,6.8802,5.5727,3.0
12,2,14,1,2,2,9,18,3.4285,6.9925999999999995,5.7866,4.9792000000000005,6.5718,3.0
0,2,9,12,2,2,12,0,4.277799999999999,5.9694,3.5899,6.863,5.7248,5.0
11,8,14,11,7,2,9,5,4.5484,6.7533,6.3691,4.4377,6.4256,2.0
9,9,18,4,7,17,9,5,5.1396999999999995,6.3625,7.126500000000001,6.017499999999999,4.5915,3.0
9,8,3,10,1,7,0,5,6.3984,5.946899999999999,5.4977,3.3572999999999995,5.3512,1.0
0,9,0,1,2,15,10,0,5.666500000000001,6.2965,3.9690999999999996,6.843400000000001,4.151,3.0
